Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000983	Bacterial general secretion pathway protein G-type pilin	interpro	family		PR00813	GO:0015628,GO:0015627
IPR001172	Flagellar motor switch FliN/Type III secretion HrcQb	interpro	family		PR00956	GO:0003774,GO:0006935,GO:0071973,GO:0009425
IPR001639	Type II secretion system protein GspC	interpro	family		PS01141,TIGR01713,PR00810	GO:0015628,GO:0015627
IPR001712	Type III secretion system FHIPEP	interpro	family		PIRSF005419,PTHR30161,PF00771,PR00949	GO:0009306,GO:0016020
IPR002010	Type III secretion system inner membrane R protein	interpro	family		PTHR30065,PF01311,PR00953	GO:0006605,GO:0016020
IPR002416	Type II secretion system protein GspH-like	interpro	family		PR00885	GO:0015628,GO:0015627
IPR003282	Type III secretion system lipoprotein HrcJ/YscJ	interpro	family		TIGR02544,PR01338	GO:0009306
IPR003283	Type III secretion system outer membrane, SpaO	interpro	family		PR01339	GO:0009306
IPR003522	Type III secretion system outer membrane pore YscC/HrcC	interpro	family		MF_02219,PR01337,TIGR02516	GO:0009306
IPR003537	Type III secretion system effector protein YopE-like	interpro	family		PR01372	GO:0005096
IPR003688	Type IV secretion system protein TraG/VirD4	interpro	family		PF02534	GO:0016020
IPR003895	Type III secretion system, SctE/BipB	interpro	family		PR01375	GO:0005576,GO:0016020
IPR004355	Type IV secretion system CagA exotoxin	interpro	family		PR01553	GO:0019534
IPR004357	Type IV secretion system CagX conjugation protein	interpro	family		PR01556	
IPR004683	Type III secretion system substrate exporter FlhB-like	interpro	family		TIGR00789	
IPR005415	Type III secretion system, low calcium response, chaperone LcrH/SycD	interpro	family		PR01595,TIGR02552	
IPR005416	Type III secretion chaperone SycE	interpro	family		PIRSF011271,PR01596	GO:0030254
IPR005498	Type IV secretion system, VirB10/TraB/TrbI	interpro	family		cd16429,PF03743	
IPR005628	General secretion pathway protein K	interpro	family		NF037980,PTHR38831,PIRSF002786	GO:0009306,GO:0016020
IPR005696	Secretion protein MesE/LcnD	interpro	family		TIGR01000	
IPR005714	ATPase, type III secretion system, FliI/YscN	interpro	family		TIGR01026	GO:0016887,GO:0009058,GO:0030254,GO:0005737,GO:0030257
IPR005773	Type III secretion system, Yop virulence translocation protein R-like	interpro	family		TIGR01102	GO:0015031,GO:0016020
IPR005838	Type III secretion system inner membrane P protein	interpro	family		PTHR30587,PS01061,PS01060,PR01302,PF00813	GO:0009306,GO:0016020
IPR006135	Type III secretion system substrate exporter	interpro	family		PTHR30531,PF01312,PR00950	GO:0009306,GO:0016020
IPR006302	Type III secretion protein HrcV	interpro	family		TIGR01399	GO:0015031,GO:0016020
IPR006304	Type III secretion protein SpaR/YscT	interpro	family		TIGR01401	GO:0016020
IPR006306	Type III secretion protein HrpO	interpro	family		TIGR01403	GO:0009306,GO:0016020
IPR006307	Type III exporter system, secretion apparatus protein BsaZ-like	interpro	family		TIGR01404	GO:0009306,GO:0016020
IPR006533	Type VI secretion system, RhsGE-associated Vgr protein	interpro	family		TIGR01646	
IPR006707	Type VII secretion system membrane protein EccD	interpro	family		TIGR03920,PIRSF017804	
IPR007039	Conjugal transfer TrbC/type IV secretion VirB2	interpro	family		PF04956	
IPR007606	Type III secretion system effector	interpro	family		PF04518	
IPR007690	Type II secretion system protein GspM	interpro	family		PIRSF006291,PF04612	GO:0015628,GO:0015627
IPR007792	Type IV secretion system, VirB3 / TrbD / AvhB	interpro	family		PF05101	
IPR007795	Type VII secretion system EccB	interpro	family		TIGR03919,PTHR40765,PF05108	
IPR007812	Type II secretion system protein GspL	interpro	family		TIGR01709,PIRSF015761	GO:0015628,GO:0009276,GO:0015627
IPR008312	Type VI secretion system sheath protein TssB1	interpro	family		PF05591,PTHR35850,PIRSF028301,TIGR03358	
IPR008514	Type VI secretion system effector Hcp	interpro	family		PF05638,TIGR03344	
IPR009211	Type VI secretion system accessory component TagJ	interpro	family		PF07024,PIRSF029288	
IPR009335	Type III secretion system HrpE /V-type ATP synthase subunit E	interpro	family		PF06188	
IPR009371	Type III secretion protein HrpF	interpro	family		PF06266	
IPR009483	Type III secretion systems tip complex component IpaD/BipD/SipD	interpro	family		PF06511,TIGR02553	
IPR009502	Secretion monitor	interpro	family		MF_01332,PF06558,PIRSF004572	GO:0045182
IPR009510	Type III secretion system, secretion protein K	interpro	family		PF06578	
IPR009863	Type III secretion protein, LcrG	interpro	family		PF07216,TIGR02573	
IPR009929	Type III secretion sytem,YscO	interpro	family		PF07321	
IPR010052	Type II secretion system protein GspI	interpro	family		PTHR38779,TIGR01707	GO:0015628,GO:0015627
IPR010054	Type II secretion system protein GspG	interpro	family		TIGR01710	GO:0015628,GO:0015627
IPR010055	Type II secretion system protein GspJ	interpro	family		PF11612,TIGR01711	GO:0015628,GO:0015627
IPR010128	ATPase, type I secretion system, PrtD-like	interpro	family		TIGR01842	GO:0005524,GO:0030253,GO:0016020,GO:0030256
IPR010129	Type I secretion membrane fusion protein, HlyD family	interpro	family		TIGR01843	GO:0015031,GO:0016020
IPR010130	Type I secretion outer membrane protein, TolC	interpro	family		TIGR01844	GO:0015562,GO:0055085,GO:0019867
IPR010132	ATPase, type I secretion system, HlyB	interpro	family		TIGR01846	GO:0005524,GO:0030253,GO:0016020,GO:0030256
IPR010263	Type VI secretion system TssK	interpro	family		PTHR35566,PF05936,TIGR03353	
IPR010269	Type VI secretion system TssC-like	interpro	family		PTHR35565,TIGR03355	
IPR010272	Type VI secretion system TssF	interpro	family		PF05947,PTHR35370,PIRSF028304,TIGR03359	
IPR010290	Transmembrane secretion effector	interpro	family		PF05977	
IPR010310	Type VII secretion system ESAT-6-like	interpro	family		TIGR03930,PF06013	
IPR010437	Type III secretion system SsaH/EsaH	interpro	family		PF06287,TIGR02498	
IPR010586	Type 3 secretion system stator protein	interpro	family		PF06635	
IPR010732	Type VI secretion, TssG-like	interpro	family		PTHR35564,PF06996,TIGR03347	
IPR011841	Type III secretion system, needle protein	interpro	family		TIGR02105	GO:0030254,GO:0030257
IPR011850	Type II secretion system protein GspF	interpro	family		TIGR02120	GO:0015628,GO:0015627
IPR012670	Type III secretion system, YscI/HrpB	interpro	family		PF17001,TIGR02497	GO:0030254
IPR012672	Type III secretion system YscX	interpro	family		PF09474,TIGR02502	
IPR012673	Type III secretion system chaperone SycN	interpro	family		PF21665,cd17031,TIGR02503	GO:0009306
IPR012842	Type 3 secretion system stator protein SctL/SctL2	interpro	family		TIGR02499	GO:0030254
IPR012843	Type III secretion system YscD/HrpQ	interpro	family		TIGR02500	
IPR013095	Type III secretion system chaperone	interpro	family		cd17022,PIRSF034754,PF07824	
IPR013348	Type 3 secretion system chaperone YscG/PscG	interpro	family		PF09477,TIGR02508	
IPR013349	Type III secretion system effector YopR	interpro	family		PF09025,TIGR02509	GO:0030254,GO:0030257
IPR013353	Type III secretion system chaperone YscB	interpro	family		TIGR02513	GO:0030254
IPR013356	Type II secretion system protein GspD	interpro	family		TIGR02517	GO:0015628,GO:0015627,GO:0019867
IPR013363	Dot/Icm secretion system ATPase DotB	interpro	family		TIGR02524	
IPR013365	Dot/Icm secretion system IcmQ	interpro	family		PF09475,TIGR02527	
IPR013369	Type II secretion system protein GspE	interpro	family		TIGR02533	GO:0005524,GO:0015628,GO:0015627
IPR013380	Type 3 secretion system ATPase SctN	interpro	family		TIGR02546	GO:0005524,GO:0046961,GO:0006754,GO:0030254,GO:0005737,GO:0030257
IPR013385	Type III secretion system apparatus protein YscQ/HrcQ/SpaO	interpro	family		TIGR02551	GO:0030254
IPR013387	Type III secretion system, PrgH/EprH	interpro	family		TIGR02554	
IPR013388	Type III secretion apparatus protein OrgA/MxiK	interpro	family		PF09482,TIGR02555	
IPR013390	Type III secretion protein HpaP	interpro	family		PF09483,TIGR02557	
IPR013391	Type III secretion protein HrpB2	interpro	family		TIGR02558,PF09487	
IPR013392	Type III secretion protein HrpB7	interpro	family		PF09486,TIGR02559	
IPR013393	Type III secretion protein HrpB4	interpro	family		PF09502,TIGR02560	
IPR013394	Type III secretion system, HrpB1/HrpK	interpro	family		PF09613,TIGR02561	
IPR013405	Type III secretion system regulator, LcrR	interpro	family		TIGR02572	
IPR014117	Type-IV secretion system protein TraC	interpro	family		TIGR02746	
IPR014155	Type IV secretion system protein VirB11	interpro	family		TIGR02788	GO:0044097,GO:0043684
IPR014158	Type IV secretion system, VirB5	interpro	family		PF07996,TIGR02791	
IPR014575	Type III secretion system, secreted protein EspD	interpro	family		PIRSF033018	
IPR016379	Type III secretion system, low calcium response, chaperone LcrH/SycD, subgroup	interpro	family		PIRSF003165	
IPR016502	Type II secretion system (T2SS) pilotin, S protein	interpro	family		PF16549,PIRSF007010	
IPR016684	Type III secretion system chaperone, YscY	interpro	family		PIRSF017117	
IPR017033	Type III secretion system apparatus protein SsaM	interpro	family		PIRSF034789	
IPR017731	Type VI secretion system protein TssM1-like	interpro	family		TIGR03348	
IPR017734	Type VI secretion system, lipoprotein SciN	interpro	family		PF12790,PTHR37625,TIGR03352	
IPR017735	Type VI secretion system, FHA domain-containing protein	interpro	family		TIGR03354	
IPR017737	Type VI secretion system protein TssE1-like	interpro	family		TIGR03357	
IPR017738	Type VI secretion system-associated, VCA0118	interpro	family		PF11319,TIGR03360	
IPR017739	Type VI secretion system-associated, VCA0119	interpro	family		PF16989,TIGR03362	
IPR017740	Type VI secretion system protein TssA-like	interpro	family		PTHR37951,TIGR03363	
IPR017750	ATPase, type I secretion system	interpro	family		TIGR03375	
IPR017847	Type VI secretion system, RhsGE-associated Vgr family subset	interpro	family		TIGR03361	
IPR018581	Type III secretion system, pilus formation, HrpA	interpro	family		PF09589	GO:0005615
IPR018778	Type VII secretion system EssB	interpro	family		TIGR03926,PF10140	
